Position,"Track Name",Artist,URL
1,Vibe,"Cookiee Kawaii",https://open.spotify.com/track/7btQ8AOjr6zXoGHEmxL5u5
2,"Moral of the Story",Ashe,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
3,"death bed (feat. beabadoobee)",Powfu,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
4,"4 Da Trap",645AR,https://open.spotify.com/track/5sF13EvLGv5qHFiMuGnMTF
5,"My Truck",Breland,https://open.spotify.com/track/1mpD5ioZ9479I6CuKxn3K9
6,"Walked In",Ultradiox,https://open.spotify.com/track/1tRlGMHsf21FDo6pja27YN
7,Skechers,DripReport,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
8,"S'en aller",Swing,https://open.spotify.com/track/3ATo60fpicfxwZ0daRatlU
9,"WHATS POPPIN","Jack Harlow",https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
10,"My Heart Went Oops",Tiagz,https://open.spotify.com/track/3Nhfs2Cx7z2JWHetYkzSfO
11,Apollo,Smoove'L,https://open.spotify.com/track/0VPmIETYsw3JBnyh4iDjVv
12,Psycho!,MASE,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
13,"This Is For Rachel For Acting Up","Visualz By Mariee",https://open.spotify.com/track/13TWGr9aDyr4AJgt1q6xVn
14,"Get the Gat","Lil Elt",https://open.spotify.com/track/4gxh3vX2vDeiey5cDQvXDR
15,Trust,"Brent Faiyaz",https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
16,"CITY OF ANGELS",24kGoldn,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
17,"Diva (feat. Lil Tecca)","The Kid LAROI",https://open.spotify.com/track/7gVwgc8b3XnO87TpmXXFA5
18,"Sunday Best",Surfaces,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
19,"Make His Pockets Hurt","Lil Kayla",https://open.spotify.com/track/4MszwagGVhBYTJkXe0KOEp
20,BLACKOUT,"Lil Kapow",https://open.spotify.com/track/29hrQIClzqNqMPO4bVWcjI
21,"Boys Ain't Shit",SAYGRACE,https://open.spotify.com/track/6vzLbfskWigBsCzNdB0kfE
22,"The Box","Roddy Ricch",https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
23,Springtime,"Chris Renzema",https://open.spotify.com/track/3u3wIwedK7lT55qBqZ1M1s
24,"Breaking Me",Topic,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
25,"She Gon Go","Trill Ryan",https://open.spotify.com/track/7FknBUKLWwjWszRK1N0jqe
26,Drugs,UPSAHL,https://open.spotify.com/track/06ioYJ99HHjzRk8HrGfkKS
27,"Say So","Doja Cat",https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
28,"Roses - Imanbek Remix","SAINt JHN",https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
29,Bussin,"Tay Money",https://open.spotify.com/track/2OBot5OpoT4deri6VkYCyW
30,"Amor Tumbado","Natanael Cano",https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
31,"Blinding Lights","The Weeknd",https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
32,Dior,"Pop Smoke",https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
33,"Working Bitch",Ashnikko,https://open.spotify.com/track/7g7w2WUpLcqsqH2M9XR7ZF
34,"Any song",Zico,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
35,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
36,"High Fashion (feat. Mustard)","Roddy Ricch",https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
37,"Dream Girl - Remix","Ir Sais",https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
38,"P*$$Y Fairy (OTW)","Jhené Aiko",https://open.spotify.com/track/48KXAIruJ07kJVCWOGohMV
39,Revenge,"Joyner Lucas",https://open.spotify.com/track/43mwjiAXLMqkOv4vtlNweU
40,"You Broke My Heart Again",Teqkoi,https://open.spotify.com/track/3jZDWsoxRHzzp3DYV8qeXE
41,"Fkn Around (feat. Megan Thee Stallion)","Phony Ppl",https://open.spotify.com/track/1RRlUJMxjp2FmkTExBT2T7
42,"What If I Told You That I Love You","Ali Gatie",https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
43,Physical,"Dua Lipa",https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
44,"Welcome to Wonderland","Anson Seabra",https://open.spotify.com/track/3JfHYZKy5JmE5Fv4gDTCiz
45,Lonely,"Joel Corry",https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV
46,"So Heavy I Fell Through the Earth - Art Mix",Grimes,https://open.spotify.com/track/2MZPwTL7QpYK42mg8NOSu8
47,"Toss A Coin To Your Witcher","Sonya Belousova",https://open.spotify.com/track/2KMLGJ1mPfRE4GNdL92rl3
48,Scum,6ix9ine,https://open.spotify.com/track/0HtjREOK0qsBrW1FDNUaYl
49,"Boss Bitch","Doja Cat",https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
50,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
